hostname,state,software,user_count,note_count,peer_count,discovered_at
toot.kuba-orlik.name,up,mastodon,10,11856,19893,1612578266
rusty.cat,up,mastodon,3,928,10870,1612583518
mastodon.futurelab.social,up,mastodon,4,772,11354,1669148564
mammut.sekhen.com,up,mastodon,1,150,4278,1668824124
mastodon.bierschutzpartei.de,up,mastodon,2,3747,11793,1651001518
smnn.ch,up,mastodon,2,1366,11811,1669007235
binarystar.social,up,mastodon,1,0,575,1676266545
mastodon.seahousen.eu,up,mastodon,1,9,1381,1717432966
iam.reasonably.social,up,mastodon,3,3986,12875,1689820117
mstdn.itsnero.com,up,mastodon,1,3331,10077,1612578269
mastodon.naturalorder.me,up,mastodon,3,1692,13006,1671474465
soc.eli173.com,up,mastodon,7,4994,2851,1667722454
fedi.gvisoc.com,up,mastodon,1,3114,12910,1667801020
social.macbeth.cc,up,mastodon,1,194,7286,1612578271
hatoba.fedicity.net,up,mastodon,1,12,3022,1681512227
tewt.me,up,mastodon,9,682,10365,1669172747
beautifullosers.org,up,mastodon,4,4441,5266,1695591899
kommentakerfid.is,up,mastodon,20,847,7216,1668173248
huber.social,up,mastodon,1,127,5783,1671835141
mastodon.draeh.org,up,mastodon,1,175,3451,1703269686
social.kendoo.eu,up,mastodon,9,3462,8678,1668425389
frequency.app,up,mastodon,38,178,3985,1642668375
feuerwehr.social,up,mastodon,1999,19948,13598,1619827854
m.fedica.com,up,mastodon,5,2016,15675,1682685195
mastodon.ghostdub.de,up,mastodon,11,2366,13893,1667776991
gonk.social,up,mastodon,8,598,2,1686686033
univention.social,up,mastodon,19,478,8564,1674827746
mastodon.scop.coop,up,mastodon,106,739,7919,1668187208
social.therestartproject.org,up,mastodon,275,281,121,1669708383
newwest.social,up,mastodon,58,3440,11321,1668780775
me.syslog.eu,up,mastodon,2,14,4474,1668904971
xtaldave.net,up,mastodon,1,2027,20996,1667496112
g0v.social,up,mastodon,7684,1056958,33322,1612578269
neuland.social,up,mastodon,12,579,15416,1668904961
bvb.social,up,mastodon,10,291,5470,1668250865
gloria.social,up,mastodon,11,1070,7926,1671221789
mastodon.jing.lgbt,up,mastodon,4,338,11370,1706465233
socialpa.ws,up,mastodon,18,650,14203,1668353714
social.dekay.se,up,mastodon,1,450,9255,1678252432
mas.skip2.net,up,mastodon,2,189,5439,1684963533
social.marc1307.de,up,mastodon,1,0,4969,1684078352
helvede.net,up,mastodon,238,104730,26546,1651064939
i.cymaphore.net,up,mastodon,1,2556,8530,1673576688
mastodon.stsecurity.moe,up,mastodon,3,407,11,1628683614
indiepocalypse.social,up,mastodon,127,69687,26990,1667022368
mstdn.syoshida.org,up,mastodon,3,10575,5,1612582166
mastodon.cross-solution.de,up,mastodon,2,2,924,1701371702
mastodon.hotmilk.space,up,mastodon,5,211,4090,1691331368
social.telemetrydeck.com,up,mastodon,5,13272,22881,1667735715
family.jmstevens.ca,up,mastodon,3,5,0,1696904091
awoo.faraway.town,up,mastodon,7,8,5,1718735845
mastodon.strangeparts.com,up,mastodon,2,105,7884,1667003597
ap.alexjanka.com,up,mastodon,1,0,3919,1683329022
cynikobecny.cz,up,mastodon,2,277,990,1707932075
votho.social,up,mastodon,1,47,1031,1667496658
mstdn.anqou.net,up,mastodon,36,126473,10301,1612578268
mastod1.ddns.net,up,mastodon,3,2515,7787,1668070057
masto.hoffman.studio,up,mastodon,1,19,2605,1680646423
janerationx.social,up,mastodon,1,2142,7550,1694555734
social.adridoesthings.com,up,mastodon,3,5819,1420,1703256738
geekodon.org,up,mastodon,3,77,3557,1667951094
social.sudovim.net,up,mastodon,5,390,1588,1612578268
sobieski.social,up,mastodon,2,453,3676,1615722480
mastodon.rejas.se,up,mastodon,1,34,4712,1687165447
undernopretext.social,up,mastodon,7,5574,14542,1667856727
bobbinsrobots.com,up,mastodon,1,470,12002,1682107980
bots.automatica.dev,up,mastodon,13,6085,1872,1669244693
jforo.com,up,mastodon,13,349730,2585,1687952096
social.tilosp.de,up,mastodon,1,0,860,1690379756
norden.social,up,mastodon,13260,2377294,40648,1612578268
mastodon.seabreeze.synology.me,up,mastodon,1,1,1111,1697315857
sakh.social,up,mastodon,19,3012,8144,1690395726
ostatus.isidai.com,up,mastodon,1,2277,6688,1612578387
demon.social,up,mastodon,5,42154,25170,1612578266
mastodon.minesco.ch,up,mastodon,7,1,3468,1612578348
welcometo.squelfland.com,up,mastodon,1,194,7480,1689534252
atmasto.com,up,mastodon,2,1361,5491,1667875287
mastodon.lawprofs.org,up,mastodon,421,30101,25141,1667942626
gallifrey.social,up,mastodon,3,273,332,1669235508
social.singularity.sh,up,mastodon,1,127,5289,1681592114
independent-media.co.uk,up,mastodon,140,11507,11554,1668632264
vrc-ins.net,up,mastodon,42,15750,4631,1675930375
www.sharebright.net,up,mastodon,10,373,239,1612668022
tapbots.social,up,mastodon,8,16613,27703,1668213222
mastodon.lagy.org,up,mastodon,2,0,2151,1654187096
malt.social,up,mastodon,1,735,6817,1693721648
pkutalk.com,up,mastodon,38,5307,14040,1674766069
hellsite.site,up,mastodon,435,39871113,31187,1612578267
miltodon.social,up,mastodon,48,233,6591,1688467805
noventech.social,up,mastodon,4,26,4214,1670094298
mastodon.nk.ca,up,mastodon,1,2386,4,1672874928
mstdn.kyuuri.dev,up,mastodon,1,53,52,1712488057
social.pincade.com.au,up,mastodon,5,767,13669,1688538514
svu.social,up,mastodon,2,27,40,1706464239
social.younger.wtf,up,mastodon,1,67,9503,1688638427
mastodon.madder-mad.net,up,mastodon,2,374,6059,1651284312
mastodon.tjs.is,up,mastodon,2,412,6638,1712772301
mastodon.bleep.social,up,mastodon,1,223,4419,1704965301
horrorhub.club,up,mastodon,332,100569,23515,1667937501
colloquy.social,up,mastodon,2,156,11446,1671278872
earthstream.social,up,mastodon,1360,21753,19923,1669830637
md.net-p.org,up,mastodon,4,28265,5703,1612578266
nt.mstdon.app,up,mastodon,10,262,1394,1612578267
dynlinux.io,up,mastodon,14,1350,10894,1612578267
mstdn.at,up,mastodon,21,95,9382,1612578266
social.yo3explorer.moe,up,mastodon,1,4,708,1716300429
snooter.space,up,mastodon,4,8129,8871,1612578267
classicalmusic.social,up,mastodon,80,3654,12855,1669321726
www.zohup.com,up,mastodon,5,0,0,1683780401
social.watercoolertrivia.com,up,mastodon,5,47,12063,1670456213
social.fqserv.eu,up,mastodon,1,0,1395,1696333023
b0x.social,up,mastodon,13,452,8160,1668359252
ono-sendai.jevidl.net,up,mastodon,1,1351,10855,1668064184
oomfie.city,up,mastodon,57,29620,14332,1689852459
mirus.club,up,mastodon,3,145,2326,1699482055
social.bert.org,up,mastodon,1,143,9633,1612578345
harekiet.com,up,mastodon,1,65,3267,1670059716
lily.network,up,mastodon,8,24078,21179,1612578265
toot.kakurady.ca,up,mastodon,3,58,1121,1697642080
mastodon.lynxcore.org,up,mastodon,2,0,1,1683660771
malenfant.net,up,mastodon,2,2266,12884,1690113730
na.social,up,mastodon,6,1443,1914,1705268008
mastodon.voicenet.ch,up,mastodon,3,530,4816,1671548732
gearheads.social,up,mastodon,935,19785,20237,1668073383
tallahasseesocial.org,up,mastodon,25,484,4385,1668212037
walkwithme.today,up,mastodon,3,16,0,1700559067
mastodon.albertoluna.es,up,mastodon,2,2,7889,1673722246
icedlatte.chat,up,mastodon,1,71,9566,1625977737
md.nakn.jp,up,mastodon,6,40554,396,1692151412
